Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP000025,Male,No,3+,Graduate,No,10518,2000,67,240,1,Semiurban,0
LP000026,Male,Yes,0,Graduate,No,7418,3000,162,360,0,Semiurban,0
LP000027,Male,Yes,1,Not Graduate,Yes,1848,3000,278,180,1,Urban,0
LP000028,Male,No,2,Graduate,No,6874,2000,220,120,1,Semiurban,1
LP000029,Male,Yes,1,Graduate,Yes,13600,1000,344,240,1,Rural,1
LP000030,Male,Yes,1,Graduate,No,9369,0,238,240,1,Urban,1
LP000031,Male,Yes,1,Graduate,No,1807,1000,475,120,0,Semiurban,0
LP000032,Male,Yes,2,Graduate,Yes,4916,4000,128,120,1,Semiurban,1
LP000033,Female,Yes,3+,Not Graduate,No,14938,3000,231,360,1,Urban,0
LP000034,Female,Yes,1,Graduate,No,12026,4000,548,120,1,Urban,1
LP000035,Female,Yes,1,Graduate,No,14553,3000,120,360,1,Urban,0
LP000036,Male,No,0,Graduate,No,6320,3000,297,360,1,Urban,1
LP000037,Male,Yes,2,Graduate,Yes,12501,4000,195,480,1,Rural,1
LP000038,Male,Yes,1,Graduate,No,5058,4000,667,240,1,Urban,0
LP000039,Male,Yes,2,Graduate,No,5978,1000,345,240,0,Rural,0
LP000040,Male,Yes,1,Not Graduate,No,13169,4000,631,240,1,Rural,0
LP000041,Male,No,3+,Graduate,No,8031,1000,519,480,1,Urban,0
LP000042,Male,Yes,3+,Graduate,No,6120,1000,555,360,1,Rural,0
LP000043,Female,No,1,Graduate,No,12378,1000,242,360,1,Urban,1
LP000044,Male,Yes,3+,Not Graduate,No,4485,3000,117,120,1,Urban,0
LP000045,Male,Yes,1,Graduate,No,9612,3000,543,480,1,Semiurban,0
LP000046,Male,Yes,3+,Graduate,No,9967,4000,101,120,1,Urban,1
LP000047,Male,No,0,Graduate,No,4047,3000,412,480,1,Semiurban,0
LP000048,Male,Yes,0,Graduate,No,12456,4000,523,120,0,Rural,0
LP000049,Male,Yes,0,Graduate,No,1836,3000,570,180,1,Semiurban,0
LP000050,Female,Yes,2,Graduate,No,11665,0,480,240,1,Rural,0
LP000051,Male,No,2,Graduate,No,4479,0,347,240,0,Urban,0
LP000052,Female,Yes,0,Graduate,No,14268,4000,484,360,1,Rural,0
LP000053,Female,No,2,Not Graduate,No,5468,3000,247,180,1,Rural,1
LP000054,Male,Yes,3+,Not Graduate,Yes,2410,3000,177,240,1,Urban,0
LP000055,Female,Yes,1,Graduate,No,3496,1000,581,360,0,Rural,0
LP000056,Male,Yes,1,Graduate,No,4629,2000,460,180,0,Urban,0
LP000057,Male,Yes,1,Graduate,Yes,6947,4000,114,240,1,Semiurban,0
LP000058,Male,Yes,0,Graduate,Yes,7629,2000,290,120,1,Urban,1
LP000059,Male,Yes,2,Graduate,No,7350,2000,418,480,0,Urban,0
LP000060,Male,No,3+,Graduate,No,5704,4000,585,180,1,Rural,0
LP000061,Male,Yes,3+,Graduate,No,8946,3000,433,360,0,Semiurban,0
LP000062,Female,Yes,0,Not Graduate,No,13449,4000,480,180,1,Urban,0
LP000063,Male,Yes,3+,Graduate,No,10019,2000,132,360,1,Semiurban,1
LP000064,Male,Yes,3+,Graduate,No,11491,3000,660,180,1,Semiurban,0
LP000065,Male,Yes,3+,Not Graduate,No,1814,0,623,360,1,Rural,0
LP000066,Male,Yes,3+,Graduate,No,13237,4000,335,240,1,Urban,1
LP000067,Female,Yes,2,Graduate,No,2634,4000,583,120,1,Rural,0
LP000068,Male,No,3+,Graduate,No,12438,3000,508,240,1,Urban,0
LP000069,Female,No,1,Graduate,No,6376,0,261,120,1,Semiurban,1
LP000070,Male,Yes,0,Graduate,No,9602,0,175,240,0,Urban,0
LP000071,Male,Yes,2,Graduate,No,11212,3000,462,240,1,Urban,0
LP000072,Male,Yes,3+,Graduate,No,9847,1000,548,180,1,Semiurban,0
LP000073,Female,Yes,2,Not Graduate,No,7092,4000,474,480,0,Semiurban,0
LP000074,Male,Yes,3+,Not Graduate,No,3224,4000,603,360,1,Urban,0
LP000075,Male,Yes,1,Not Graduate,No,4843,2000,659,360,1,Rural,0
LP000076,Male,No,0,Graduate,No,2386,3000,592,360,1,Urban,0
LP000077,Male,No,3+,Graduate,No,12765,2000,207,120,1,Semiurban,1
LP000078,Male,Yes,3+,Not Graduate,No,12497,2000,161,360,0,Rural,1
LP000079,Male,Yes,3+,Graduate,No,2221,0,451,360,1,Semiurban,0
LP000080,Female,Yes,3+,Graduate,No,9178,4000,171,180,1,Semiurban,1
LP000081,Male,No,0,Graduate,No,10604,2000,322,240,1,Rural,1
LP000082,Male,Yes,0,Graduate,No,4857,0,343,360,1,Semiurban,1
LP000083,Male,Yes,1,Not Graduate,Yes,2370,3000,447,480,1,Semiurban,0
LP000084,Male,No,0,Graduate,Yes,13800,2000,520,360,1,Semiurban,0
LP000085,Male,Yes,3+,Graduate,No,8251,4000,256,120,1,Semiurban,1
LP000086,Male,No,1,Graduate,No,1997,2000,159,120,1,Semiurban,0
LP000087,Male,Yes,1,Graduate,No,3256,3000,489,120,1,Semiurban,0
LP000088,Female,Yes,1,Not Graduate,No,2617,2000,327,360,1,Semiurban,0
LP000089,Male,Yes,3+,Graduate,No,13101,4000,617,180,1,Semiurban,0
LP000090,Male,No,2,Graduate,No,4328,0,618,480,1,Semiurban,0
LP000091,Male,No,3+,Not Graduate,No,14982,4000,531,360,1,Urban,0
LP000092,Male,No,0,Graduate,No,3147,0,163,180,1,Urban,0
LP000093,Male,Yes,0,Graduate,No,8492,1000,526,180,1,Semiurban,0
LP000094,Male,No,3+,Graduate,No,12675,4000,370,360,1,Urban,1
LP000095,Male,Yes,3+,Not Graduate,No,8271,4000,228,360,1,Rural,0
LP000096,Male,Yes,1,Graduate,No,1642,3000,268,180,1,Urban,0
LP000097,Male,No,3+,Graduate,No,4261,2000,577,180,1,Semiurban,0
LP000098,Male,Yes,1,Not Graduate,No,4935,0,541,180,1,Semiurban,0
LP000099,Male,Yes,0,Graduate,Yes,8122,0,110,360,1,Urban,1
LP000100,Male,Yes,1,Not Graduate,Yes,14352,3000,103,180,0,Semiurban,0
LP000101,Male,Yes,3+,Graduate,No,12123,3000,587,120,1,Rural,1
LP000102,Male,Yes,0,Graduate,Yes,8569,2000,114,360,1,Rural,0
LP000103,Male,Yes,2,Graduate,No,6012,2000,661,120,1,Semiurban,0
LP000104,Female,Yes,1,Not Graduate,No,3348,4000,635,240,1,Rural,0
LP000105,Male,No,0,Graduate,Yes,4196,1000,220,360,1,Rural,1
LP000106,Male,No,1,Not Graduate,No,3217,2000,322,240,1,Urban,1
LP000107,Male,Yes,0,Not Graduate,No,4572,3000,584,180,0,Rural,0
LP000108,Male,Yes,0,Graduate,No,10759,2000,440,180,1,Urban,0
LP000109,Male,Yes,1,Not Graduate,No,4286,0,376,480,1,Semiurban,1
LP000110,Male,Yes,2,Graduate,No,14909,1000,157,180,1,Urban,1
LP000111,Male,Yes,0,Graduate,Yes,5291,4000,211,240,1,Semiurban,1
LP000112,Female,Yes,0,Graduate,No,10980,0,501,180,1,Semiurban,0
LP000113,Female,Yes,0,Not Graduate,No,5371,0,255,360,1,Semiurban,1
LP000114,Male,Yes,2,Graduate,No,3306,1000,639,180,1,Semiurban,0
LP000115,Female,Yes,2,Graduate,No,3004,4000,65,480,1,Semiurban,1
LP000116,Female,Yes,3+,Graduate,No,4808,3000,376,180,1,Urban,1
LP000117,Male,No,1,Graduate,No,8617,4000,657,240,1,Semiurban,1
LP000118,Female,No,2,Graduate,No,14804,2000,51,240,1,Rural,1
LP000119,Male,Yes,1,Not Graduate,No,6548,0,59,180,1,Rural,1
LP000120,Female,No,3+,Not Graduate,No,12643,2000,483,240,1,Semiurban,0
LP000121,Female,Yes,1,Graduate,No,9763,3000,174,240,0,Rural,0
LP000122,Male,No,2,Not Graduate,No,3190,2000,130,480,1,Urban,1
LP000123,Male,No,1,Graduate,No,11036,4000,534,360,1,Urban,0
LP000124,Male,Yes,2,Not Graduate,No,4803,2000,199,480,1,Semiurban,1
LP000125,Male,Yes,1,Graduate,No,4613,3000,389,120,1,Semiurban,1
LP000126,Female,Yes,2,Graduate,No,10574,3000,178,480,1,Semiurban,1
LP000127,Female,Yes,2,Graduate,No,13926,3000,487,180,1,Rural,0
LP000128,Male,Yes,1,Not Graduate,No,12354,4000,550,360,0,Rural,0
LP000129,Male,Yes,3+,Graduate,No,9350,3000,107,180,1,Urban,1
LP000130,Male,Yes,0,Graduate,No,7916,0,247,120,1,Rural,1
LP000131,Male,No,3+,Graduate,No,3004,3000,260,360,1,Urban,1
LP000132,Male,No,1,Graduate,Yes,12155,2000,94,240,1,Rural,0
LP000133,Male,Yes,3+,Graduate,No,12245,2000,146,480,1,Urban,1
LP000134,Female,Yes,2,Graduate,No,10424,2000,328,180,1,Semiurban,1
LP000135,Male,Yes,0,Not Graduate,No,11440,4000,584,120,1,Rural,0
LP000136,Male,Yes,1,Graduate,No,5424,2000,459,240,0,Urban,0
LP000137,Male,No,1,Graduate,No,10115,4000,510,480,1,Rural,0
LP000138,Male,Yes,1,Graduate,No,13170,4000,440,240,1,Semiurban,0
LP000139,Female,Yes,0,Not Graduate,Yes,11283,3000,93,480,0,Urban,1
LP000140,Female,Yes,2,Not Graduate,No,5985,0,76,360,1,Rural,1
LP000141,Male,Yes,1,Graduate,No,14129,3000,146,240,1,Rural,1
LP000142,Male,No,3+,Graduate,No,14733,3000,597,240,1,Semiurban,0
LP000143,Male,No,1,Graduate,No,14401,4000,670,240,1,Semiurban,0
LP000144,Male,Yes,1,Graduate,No,9600,4000,616,360,1,Urban,0
LP000145,Male,Yes,1,Not Graduate,Yes,10184,2000,268,120,1,Rural,1
LP000146,Male,Yes,1,Graduate,No,1691,2000,234,480,1,Rural,0
LP000147,Male,No,2,Graduate,No,10190,3000,118,240,1,Semiurban,1
LP000148,Male,No,3+,Graduate,No,6417,1000,179,360,1,Semiurban,1
LP000149,Male,Yes,2,Not Graduate,No,7331,1000,616,120,1,Urban,0
LP000150,Female,Yes,3+,Graduate,No,10948,2000,658,480,1,Rural,0
LP000151,Male,No,1,Graduate,No,11660,1000,648,360,1,Rural,1
LP000152,Male,Yes,0,Graduate,No,5822,2000,680,480,0,Urban,1
LP000153,Male,No,2,Not Graduate,No,11878,4000,383,240,0,Urban,0
LP000154,Female,Yes,0,Graduate,No,8499,3000,203,120,0,Semiurban,0
LP000155,Male,Yes,2,Graduate,No,10508,0,596,360,1,Semiurban,1
LP000156,Male,Yes,1,Graduate,No,12912,3000,128,120,1,Urban,1
LP000157,Male,Yes,2,Graduate,No,8782,2000,628,240,1,Urban,0
LP000158,Male,Yes,1,Graduate,No,11165,2000,462,120,1,Rural,1
LP000159,Male,No,2,Graduate,No,10778,3000,595,120,1,Urban,0
LP000160,Male,Yes,1,Graduate,No,13891,2000,658,180,1,Urban,0
LP000161,Male,Yes,1,Graduate,No,3374,1000,218,120,1,Rural,0
LP000162,Male,Yes,3+,Graduate,No,10562,1000,632,480,1,Urban,0
LP000163,Male,Yes,1,Not Graduate,No,6263,2000,564,360,1,Semiurban,0
LP000164,Male,Yes,3+,Graduate,No,11734,2000,363,180,1,Semiurban,1
LP000165,Female,Yes,1,Not Graduate,No,9964,1000,81,360,0,Rural,0
LP000166,Male,No,0,Graduate,No,10721,2000,336,360,0,Urban,0
LP000167,Male,Yes,1,Graduate,No,12910,2000,643,240,0,Semiurban,0
LP000168,Male,Yes,0,Graduate,No,13761,3000,92,240,1,Semiurban,1
LP000169,Male,Yes,0,Graduate,No,2551,0,666,180,1,Semiurban,0
LP000170,Male,No,1,Graduate,No,13725,1000,50,240,1,Semiurban,1
LP000171,Male,No,0,Graduate,No,11265,3000,622,240,1,Urban,0
LP000172,Male,No,3+,Graduate,No,12882,0,319,240,1,Urban,1
LP000173,Male,Yes,2,Not Graduate,No,14080,2000,229,360,1,Urban,1
LP000174,Male,Yes,1,Graduate,No,9038,2000,567,180,0,Urban,0
LP000175,Male,Yes,0,Not Graduate,Yes,8911,3000,152,360,1,Semiurban,1
LP000176,Male,Yes,1,Graduate,No,13489,2000,59,480,1,Rural,1
LP000177,Male,Yes,3+,Graduate,Yes,12981,4000,632,360,1,Rural,0
LP000178,Female,Yes,1,Graduate,No,7820,3000,139,480,1,Semiurban,1
LP000179,Male,Yes,1,Graduate,No,13439,0,275,120,1,Semiurban,1
LP000180,Male,Yes,0,Graduate,No,3605,3000,175,120,1,Rural,1
LP000181,Male,No,3+,Graduate,No,1807,1000,258,480,1,Rural,1
LP000182,Female,Yes,2,Graduate,No,9237,3000,146,480,1,Semiurban,1
LP000183,Female,Yes,2,Graduate,No,4859,2000,123,360,1,Semiurban,1
LP000184,Male,No,0,Graduate,No,14764,2000,676,480,0,Urban,0
LP000185,Male,Yes,1,Not Graduate,No,4676,4000,240,180,0,Urban,0
LP000186,Female,No,0,Not Graduate,Yes,2751,4000,105,120,1,Rural,0
LP000187,Male,Yes,0,Graduate,No,6866,4000,602,120,0,Semiurban,0
LP000188,Male,Yes,0,Not Graduate,No,12439,0,81,480,1,Rural,1
LP000189,Male,No,1,Graduate,No,3017,4000,576,240,1,Urban,0
LP000190,Male,No,3+,Graduate,No,7726,0,623,240,0,Urban,1
LP000191,Female,No,0,Not Graduate,No,6805,4000,333,480,1,Rural,1
LP000192,Female,Yes,1,Graduate,No,11070,0,543,180,1,Urban,0
LP000193,Male,Yes,3+,Graduate,No,7369,3000,236,240,1,Semiurban,1
LP000194,Male,Yes,0,Graduate,Yes,9539,3000,547,480,1,Rural,0
LP000195,Male,Yes,2,Graduate,No,6391,2000,491,180,1,Semiurban,0
LP000196,Male,No,3+,Graduate,No,6492,0,179,180,1,Semiurban,1
LP000197,Female,Yes,0,Not Graduate,No,3461,1000,688,360,1,Urban,1
LP000198,Female,No,3+,Graduate,No,13997,2000,341,180,1,Semiurban,1
LP000199,Male,Yes,3+,Graduate,No,4363,3000,163,240,1,Rural,1
LP000200,Male,Yes,3+,Not Graduate,No,12348,0,248,240,0,Semiurban,0
LP000201,Male,Yes,3+,Graduate,No,12186,4000,62,480,0,Semiurban,0
LP000202,Male,No,3+,Graduate,No,8103,1000,320,480,0,Semiurban,0
LP000203,Female,No,3+,Graduate,No,14755,3000,650,180,1,Semiurban,0
LP000204,Male,No,0,Graduate,No,6067,2000,264,120,0,Semiurban,0
LP000205,Male,No,2,Not Graduate,No,8013,0,493,360,1,Urban,0
LP000206,Male,No,1,Graduate,No,5505,1000,561,120,1,Rural,0
LP000207,Male,No,3+,Not Graduate,Yes,13255,0,496,180,1,Urban,0
LP000208,Male,Yes,1,Graduate,No,10614,4000,123,180,1,Rural,1
LP000209,Male,Yes,0,Not Graduate,Yes,13924,2000,586,120,1,Rural,0
LP000210,Male,Yes,3+,Graduate,No,14154,0,150,360,1,Rural,1
LP000211,Male,No,2,Not Graduate,No,12651,3000,225,120,1,Rural,1
LP000212,Male,No,1,Graduate,No,1683,2000,476,480,1,Rural,0
LP000213,Male,Yes,3+,Not Graduate,No,9255,3000,166,240,1,Semiurban,1
LP000214,Male,No,0,Graduate,No,4858,0,215,480,0,Urban,0
LP000215,Male,No,2,Graduate,No,8115,2000,90,240,1,Urban,1
LP000216,Male,Yes,1,Not Graduate,No,11090,3000,478,180,0,Semiurban,0
LP000217,Male,Yes,1,Graduate,No,8297,4000,393,360,1,Rural,1
LP000218,Male,No,3+,Not Graduate,Yes,12488,4000,473,120,1,Urban,0
LP000219,Female,Yes,2,Graduate,No,10228,0,415,360,1,Semiurban,0
LP000220,Male,No,2,Graduate,No,9178,2000,169,120,0,Semiurban,0
LP000221,Male,Yes,2,Graduate,No,7198,1000,658,480,0,Urban,0
LP000222,Male,No,2,Graduate,No,2773,2000,278,480,1,Urban,0
LP000223,Male,No,0,Graduate,No,12659,4000,179,120,1,Rural,1
LP000224,Male,No,2,Graduate,Yes,8153,3000,401,360,1,Rural,1
LP000225,Male,Yes,1,Graduate,No,12741,1000,367,120,1,Urban,1
LP000226,Female,No,1,Graduate,No,2596,0,698,180,1,Rural,0
LP000227,Male,No,0,Graduate,No,10997,1000,386,480,1,Semiurban,1
LP000228,Female,Yes,1,Graduate,No,10607,0,322,180,1,Rural,1
LP000229,Male,No,1,Graduate,No,12773,1000,166,480,1,Rural,1
LP000230,Male,Yes,2,Graduate,No,9502,0,417,480,1,Semiurban,0
LP000231,Male,Yes,1,Graduate,No,5747,0,143,240,0,Rural,0
LP000232,Male,Yes,0,Not Graduate,No,10720,1000,217,180,1,Semiurban,1
LP000233,Male,Yes,2,Not Graduate,Yes,6814,1000,390,180,1,Rural,1
LP000234,Male,Yes,3+,Graduate,No,11669,0,201,240,1,Urban,1
LP000235,Male,No,2,Graduate,No,4854,4000,635,360,1,Rural,0
LP000236,Male,Yes,0,Not Graduate,No,12203,1000,323,180,0,Urban,0
LP000237,Male,No,2,Graduate,No,1770,2000,603,120,1,Urban,0
LP000238,Male,Yes,2,Graduate,Yes,2686,3000,545,240,1,Urban,1
LP000239,Male,Yes,0,Graduate,No,14247,0,150,180,1,Urban,0
LP000240,Female,Yes,2,Not Graduate,No,13892,0,606,360,1,Urban,0
LP000241,Female,No,0,Graduate,No,13456,3000,131,180,0,Semiurban,0
LP000242,Female,Yes,0,Graduate,Yes,7805,4000,578,480,1,Semiurban,1
LP000243,Male,Yes,3+,Not Graduate,No,3898,3000,122,120,0,Semiurban,0
LP000244,Male,No,1,Not Graduate,No,14221,1000,63,240,1,Urban,1
LP000245,Female,Yes,1,Graduate,No,8495,3000,482,480,1,Rural,0
LP000246,Male,Yes,2,Graduate,No,13927,0,206,360,1,Semiurban,1
LP000247,Female,Yes,2,Not Graduate,No,8799,3000,181,480,1,Rural,1
LP000248,Female,No,3+,Graduate,No,5682,2000,387,480,1,Rural,1
LP000249,Female,Yes,3+,Graduate,No,11403,1000,453,360,1,Urban,0
LP000250,Male,No,3+,Graduate,No,3730,3000,425,480,1,Urban,1
LP000251,Male,Yes,0,Not Graduate,No,8011,0,608,240,1,Urban,0
LP000252,Female,No,3+,Graduate,No,1628,1000,156,180,1,Semiurban,0
LP000253,Male,No,3+,Not Graduate,No,10961,0,669,480,1,Urban,0
LP000254,Male,No,2,Not Graduate,No,5172,4000,314,240,1,Semiurban,0
LP000255,Male,Yes,3+,Graduate,No,11293,2000,254,180,1,Semiurban,1
LP000256,Female,No,0,Graduate,No,6265,4000,128,180,0,Semiurban,0
LP000257,Male,Yes,0,Graduate,Yes,5470,2000,204,480,1,Semiurban,1
LP000258,Male,Yes,2,Graduate,Yes,9045,3000,296,240,0,Urban,0
LP000259,Male,Yes,3+,Graduate,No,13936,1000,580,480,1,Semiurban,0
LP000260,Male,No,3+,Graduate,No,14772,3000,587,360,1,Urban,0
LP000261,Female,No,0,Graduate,Yes,14639,2000,203,180,1,Urban,1
LP000262,Male,No,3+,Not Graduate,No,7052,2000,203,480,1,Semiurban,1
LP000263,Male,Yes,3+,Graduate,No,2127,2000,141,180,1,Urban,0
LP000264,Female,Yes,3+,Graduate,No,13489,0,482,240,1,Rural,0
LP000265,Male,No,1,Graduate,No,8089,1000,387,120,1,Urban,1
LP000266,Male,Yes,2,Graduate,Yes,3544,3000,529,480,1,Urban,0
LP000267,Male,Yes,1,Graduate,No,13244,3000,180,480,1,Semiurban,1
LP000268,Male,Yes,2,Graduate,No,14671,4000,499,180,1,Semiurban,0
LP000269,Male,Yes,0,Graduate,No,3841,2000,322,240,1,Urban,1
LP000270,Female,Yes,3+,Graduate,No,7384,2000,637,360,1,Semiurban,0
LP000271,Female,Yes,2,Graduate,No,12906,2000,226,240,1,Rural,1
LP000272,Female,Yes,1,Graduate,No,9685,3000,692,480,1,Rural,0
LP000273,Female,Yes,3+,Graduate,No,1749,4000,98,360,0,Semiurban,0
LP000274,Male,No,0,Not Graduate,No,4425,0,616,240,1,Urban,0
LP000275,Male,Yes,2,Graduate,No,6543,1000,404,120,1,Rural,1
LP000276,Male,Yes,2,Graduate,No,2474,0,357,180,1,Rural,0
LP000277,Male,No,2,Graduate,Yes,11017,3000,679,240,1,Urban,0
LP000278,Male,Yes,3+,Graduate,No,8692,2000,95,240,1,Semiurban,1
LP000279,Male,No,1,Graduate,No,10675,1000,351,120,1,Rural,1
LP000280,Female,No,1,Graduate,No,10580,3000,457,480,1,Urban,0
LP000281,Male,Yes,2,Graduate,No,12629,3000,238,180,0,Urban,0
LP000282,Male,Yes,0,Graduate,No,11809,3000,178,240,1,Rural,1
LP000283,Male,No,0,Graduate,No,4172,1000,610,360,1,Semiurban,0
LP000284,Male,No,1,Graduate,No,14662,1000,586,240,1,Rural,0
LP000285,Male,Yes,0,Graduate,No,8779,4000,315,180,0,Urban,0
LP000286,Male,Yes,1,Not Graduate,No,9031,4000,167,240,1,Rural,1
LP000287,Male,Yes,2,Graduate,Yes,11018,0,513,120,1,Semiurban,0
LP000288,Male,No,1,Graduate,No,10162,1000,193,240,1,Urban,1
LP000289,Male,Yes,1,Graduate,No,3487,1000,491,240,1,Semiurban,1
LP000290,Male,No,2,Graduate,No,1590,1000,249,360,1,Rural,0
LP000291,Male,Yes,0,Graduate,No,10221,4000,206,120,1,Rural,1
LP000292,Female,Yes,1,Graduate,No,14448,3000,536,120,0,Semiurban,0
LP000293,Male,Yes,1,Graduate,No,5559,2000,183,240,1,Rural,1
LP000294,Male,Yes,2,Graduate,No,14526,4000,197,360,1,Semiurban,0
LP000295,Male,Yes,0,Graduate,No,4273,1000,385,240,1,Rural,1
LP000296,Male,Yes,1,Graduate,No,14659,4000,120,240,1,Semiurban,1
LP000297,Male,Yes,2,Graduate,Yes,11378,0,282,180,1,Semiurban,1
LP000298,Male,No,1,Graduate,Yes,9883,1000,383,180,1,Urban,1
LP000299,Male,Yes,3+,Graduate,No,11678,0,139,360,0,Urban,0
LP000300,Male,Yes,2,Not Graduate,Yes,13315,1000,383,480,1,Semiurban,1
LP000301,Male,No,0,Graduate,No,8909,4000,248,180,1,Rural,1
LP000302,Male,No,0,Graduate,No,11877,3000,210,480,1,Rural,1
LP000303,Male,No,0,Graduate,No,5940,2000,587,120,1,Rural,0
LP000304,Male,No,0,Not Graduate,No,8847,0,170,180,0,Semiurban,0
LP000305,Female,Yes,1,Graduate,No,2508,4000,350,180,1,Semiurban,1
LP000306,Male,Yes,1,Graduate,No,5283,3000,624,360,1,Semiurban,0
LP000307,Male,No,0,Graduate,Yes,8146,4000,485,480,1,Semiurban,0
LP000308,Male,No,0,Graduate,No,5798,0,117,180,1,Urban,1
LP000309,Male,Yes,0,Graduate,No,6168,2000,508,180,1,Semiurban,1
LP000310,Male,No,1,Graduate,No,5787,4000,563,360,1,Rural,0
LP000311,Male,Yes,0,Not Graduate,No,3552,1000,447,360,1,Urban,0
LP000312,Male,Yes,0,Graduate,No,7509,3000,669,480,1,Rural,0
LP000313,Female,Yes,3+,Graduate,Yes,13000,4000,335,120,1,Semiurban,1
LP000314,Female,Yes,3+,Not Graduate,No,3216,3000,610,120,1,Urban,0
LP000315,Male,Yes,0,Graduate,No,1810,1000,189,240,1,Semiurban,0
LP000316,Male,Yes,2,Graduate,No,6038,2000,605,180,1,Urban,0
LP000317,Male,No,0,Graduate,Yes,2760,2000,639,480,1,Rural,1
LP000318,Male,Yes,3+,Graduate,No,14657,1000,659,180,1,Semiurban,0
LP000319,Male,Yes,2,Graduate,No,5432,3000,331,480,1,Semiurban,1
LP000320,Male,No,2,Not Graduate,No,12960,4000,627,480,1,Urban,0
LP000321,Male,No,0,Graduate,No,2084,1000,506,480,1,Urban,0
LP000322,Male,No,3+,Graduate,Yes,12491,0,136,180,0,Semiurban,0
LP000323,Male,No,3+,Graduate,No,9116,3000,128,360,1,Urban,1
LP000324,Female,No,2,Not Graduate,No,10051,2000,254,180,1,Semiurban,1
LP000325,Male,Yes,0,Not Graduate,No,4366,1000,386,480,1,Urban,1
LP000326,Male,Yes,1,Not Graduate,No,7398,2000,303,240,1,Rural,1
LP000327,Male,Yes,1,Graduate,Yes,3511,3000,353,120,1,Urban,1
LP000328,Male,Yes,3+,Graduate,No,7751,2000,429,480,1,Rural,1
LP000329,Male,Yes,1,Graduate,No,6439,1000,179,240,0,Urban,0
LP000330,Male,No,3+,Graduate,No,5506,3000,645,360,1,Urban,0
LP000331,Male,Yes,3+,Graduate,No,3125,0,325,480,1,Semiurban,1
LP000332,Male,Yes,3+,Graduate,No,12456,1000,607,240,1,Urban,0
LP000333,Male,Yes,1,Graduate,No,2390,4000,232,480,1,Urban,0
LP000334,Male,No,3+,Graduate,No,7578,1000,317,180,1,Rural,1
LP000335,Male,Yes,2,Graduate,No,14747,3000,371,240,1,Urban,1
LP000336,Female,No,0,Graduate,No,8536,1000,561,180,1,Semiurban,0
LP000337,Male,Yes,0,Graduate,No,10423,0,661,180,1,Rural,0
LP000338,Male,Yes,3+,Graduate,No,5461,0,127,240,1,Semiurban,1
LP000339,Male,Yes,0,Graduate,Yes,14393,4000,388,120,1,Semiurban,1
LP000340,Male,No,1,Graduate,No,4004,2000,605,240,1,Semiurban,0
LP000341,Male,Yes,1,Graduate,No,10306,3000,558,120,1,Semiurban,0
LP000342,Male,No,0,Graduate,No,5306,3000,287,480,1,Rural,1
LP000343,Male,Yes,1,Graduate,No,7600,2000,183,480,1,Urban,1
LP000344,Male,Yes,0,Not Graduate,No,3219,0,241,240,1,Semiurban,1
LP000345,Male,No,0,Graduate,No,14461,0,405,480,1,Rural,1
LP000346,Male,No,0,Graduate,No,8186,1000,327,360,1,Semiurban,1
